CodProd,Descrip,CodInst,Activo,Descrip2,Precio_1
100004,Queso blanco tipo Telita (e),Quesos Frescos,Y,FRESCO,4.56
100008,Queso Blanco tipo Guayanes (e),Quesos Frescos,Y,FRESCO,3.25
1032022,Leche en polvo 900grs Upaca,Leche en polvo,Y,Leche en polvo,4.78
1151,Leche Polvo Completa La Campi 900gr(e),Leche en polvo,Y,LECHE EN POLVO,6.0
1157007,Queso Crema Gaby 250gr X unidad,Cremas y Natillas,Y,CREMAS,1.54
1157008,Queso Crema Gaby Panelon 10kg,Industriales,Y,INDUSTRIAL,53.62
1157035,Crema de leche 250 grs X Unidad Quenaca,Cremas y Natillas,Y,Crema de leche 250grs,1.43
1157037,Q. Blanco Mozzarella Panela Quenaca (e),Quesos Frescos,Y,Queso Mozzarella Panela,5.77
1157050,Queso Pecorino sin pimienta Quenaca,Quesos Madurados,Y,MADURADO,11.74
1158055,Santal Active Zanahoria y Naranja 1.5L,Bebidas UHT,Y,NECTAR,2.95
1175,Leche Descremada Dietalat 1lt Parmalat,Leches UHT,Y,UHT,0.91
1246,Leche en Polvo Descremada La Campi 500,Leche en polvo,Y,LECHE EN POLVO,3.55
1275,Leche en Polvo Completa La Campi 500gr,Leche en polvo,Y,LECHE EN POLVO,3.34
1574,Crema de leche Purisima 250grs X unidad,Cremas y Natillas,Y,Crema de leche Purisima 250grs X unidad,0.83
199,Granel Almendras Leche con Chocolate 1kg,Chocolates y Golosinas,Y,CHOCOLATE,15.52
2031,Gotas Cobertura  Blanco 5 kgrs,Chocolates y Golosinas,Y,Gotas Cobertura Stm 3500 Blanco 5 kgrs,30.69
207,Indust Chocolate Blanco 1kg St. Moritz,Chocolates y Golosinas,Y,CHOCOLATE,9.84
23354,Hueso Rojo de Cerdo (VL) (e),Productos de Cerdo,Y,CARNES,1.83
23364,Lomo de Cerdo (VL) (e),Productos de Cerdo,Y,CARNES,4.24
233641,Lomo de Cerdo Rebanado (VL) (e),Productos de Cerdo,Y,CARNES,4.49
23365,Lomito de Cerdo (Vl) (e),Productos de Cerdo,Y,CARNES,3.78
23367,Costilla de Cerdo BBR BABY BACK RIBS (e),Productos de Cerdo,Y,CARNES,3.81
23413,Pernil Tipo Parma (VL) (e),Productos de Cerdo,Y,CARNES,3.27
23420,Pollo de Res (VL) (e),Productos Bobinos,Y,CARNES,4.0
23421,Carne Para Guisar (VL) (e),Productos Bobinos,Y,CARNES,3.43
23422,Carne Molida (VL) (e),Productos Bobinos,Y,Carne molida,3.65
23426,Carne Para Mechar (VL) (e),Productos Bobinos,Y,CARNES,3.88
23433,Pernil de Cordero (VL),Productos cordero y conejos,Y,CARNES,4.85
23444,Racks de Cabrito (VL),Productos cordero y conejos,Y,CARNES,3.46
23445,Pierna de Cabrito (VL),Productos cordero y conejos,Y,CARNES,3.48
23499,Tocino de Cerdo (VL) (e),Productos de Cerdo,Y,CERDO,2.37
23502,Punta trasera de Cerdo (VL) (e),Productos de Cerdo,Y,CARNES,6.72
2355,Solomo Cuerito (VL) Carnes El Pazo,Productos Bobinos,Y,CARNE,8.12
2514,Santal Light Pera  Pet 500ml x12 und,Bebidas UHT,Y,UHT,0.87
2516,Santal Light Manzana Pet 500ml x 12 und,Bebidas UHT,Y,UHT,0.87
2596,Choco latte blanc 12U X 32gr St. Moritz,Chocolates y Golosinas,Y,CHOCOLATE,4.1
2732,chocolate s/a leche 9x30gr St. Moritz,Chocolates y Golosinas,Y,chocolate s/a leche display 9 x 30 gr,4.85
2734,Nectar Guayaba-Pi 500ml  Frica,Bebidas UHT,Y,Nectar Guayaba Pi 500ml,0.66
2742,Naranjada Frica 12 x 500ml,Bebidas UHT,Y,NECTAR,0.46
2744,Naranjada Frica 6 x1.5L,Bebidas UHT,Y,NECTAR,1.9
2747,Leche UHT Descremada Parmalat 1L X 12U,Leches UHT,Y,UHT,1.4
2791,Reposteria Choc. leche 500gr St Moritz,Chocolates y Golosinas,Y,CHOCOLATE,4.5
